znamka,model,generacija,verzija,prvo leto proizvodnje,gorivo,poravnava motorja,prostornina motorja,moč motorja,prisilno polnenje motorja,pospesevanje,max hitrost,navor,emisije,poraba
Polestar,1,,T8R,2020.0,hybrid_petrol,Transverse,1969.0,609.0,-,4.2,250.0,1000.0,15.0,1.3
Rover,100,,1.1 ate97,1995.0,Petrol,Transverse,1120.0,60.0,N/A,14.8,155.0,90.0,148.0,6.2
Rover,100,,1.1,1990.0,Petrol,Transverse,1120.0,60.0,N/A,14.8,155.0,90.0,141.0,5.9
Rover,100,,1.4 GTi 16v MPI,1991.0,Petrol,Transverse,1396.0,103.0,N/A,9.5,190.0,127.0,165.0,6.9
Rover,100,,1.4 GTi 16v,1990.0,Petrol,Transverse,1396.0,90.0,N/A,9.8,183.0,120.0,155.0,6.5
Rover,100,,1.4,1995.0,Petrol,Transverse,1396.0,75.0,N/A,10.9,170.0,117.0,150.0,6.3
Rover,100,,1.4D,1994.0,Diesel,Transverse,1390.0,38.0,N/A,18.5,145.0,83.0,124.0,4.7
Audi,100,100 (type C4),1.6,1991.0,Petrol,Transverse,1595.0,102.0,N/A,12.9,180.0,127.0,,6.5
Audi,100,100 (type C3),1.8 75,1982.0,Petrol,Longitudinal,1781.0,75.0,N/A,14.9,165.0,138.0,188.0,7.9
Audi,100,100 (type C3),1.8 90,1982.0,Petrol,Longitudinal,1781.0,90.0,N/A,,165.0,145.0,,5.4
Audi,100,100 (type C3),1.8,1986.0,Petrol,Longitudinal,1781.0,88.0,N/A,12.2,175.0,142.0,181.0,7.6
Audi,100,100 (type C3),1.9,1982.0,Petrol,Longitudinal,1921.0,100.0,N/A,12.2,176.0,150.0,184.0,7.7
Audi,100,100 (type C4),2.0 16v,1992.0,Petrol,Transverse,1984.0,140.0,N/A,10.1,204.0,185.0,,6.8
Audi,100,100 (type C3),2.0 D,1988.0,Diesel,,1986.0,70.0,,17.9,155.0,123.0,,6.7
Audi,100,100 (type C4),2.0 E 100,1991.0,Petrol,Longitudinal,1984.0,101.0,N/A,12.6,182.0,157.0,198.0,8.3
Audi,100,100 (type C3),2.0 E,1988.0,Petrol,,1994.0,116.0,,10.7,190.0,172.0,,8.9
Audi,100,100 (type C3),2.0 TD,1988.0,Diesel,,1986.0,100.0,,12.3,185.0,192.0,,6.7
Audi,100,100 (type C3),2.0,1984.0,Petrol,Longitudinal,1994.0,115.0,N/A,10.7,190.0,170.0,212.0,8.9
Audi,100,100 (type C4),2.0E 116,1992.0,Petrol,Longitudinal,1984.0,116.0,N/A,11.0,191.0,168.0,203.0,8.5
Audi,100,100 (type C3),2.1,1982.0,Petrol,,2144.0,138.0,,,200.0,,,
Audi,100,100 (type C3),2.2 Quattro,1984.0,Petrol,,2226.0,138.0,,9.7,202.0,188.0,,9.0
Audi,100,100 (type C3),2.2 Sport quattro,1990.0,Petrol,,2309.0,136.0,,10.0,201.0,190.0,,6.9
Audi,100,100 (type C3),2.2 Turbo Quattro,1989.0,Petrol,,2226.0,165.0,,8.0,216.0,240.0,,10.8
Audi,100,100 (type C3),2.2 Turbo,1989.0,Petrol,,2226.0,165.0,,8.0,216.0,240.0,,9.7
Audi,100,100 (type C3),2.2,1982.0,Petrol,,2226.0,138.0,,9.7,202.0,188.0,,9.0
Audi,100,100 (type C4),2.3 E Quattro,1991.0,Petrol,Longitudinal,2309.0,133.0,N/A,10.4,202.0,186.0,236.0,9.9
Audi,100,100 (type C4),2.3 E,1991.0,Petrol,Longitudinal,2309.0,133.0,N/A,10.2,202.0,186.0,227.0,9.5
Audi,100,100 (type C3),2.3 Quattro,1986.0,Petrol,,2309.0,136.0,,10.0,201.0,190.0,,9.2
